id,name,neighbourhood_cleansed,latitude,longitude,room_type,minimum_maximum_nights,license,Illegal,,,
106025,Gorgeous French Flat near Union Sq.,Downtown/Civic Center,37.78535,-122.41515,Entire home/apt,60,,legal,,,
109883,San Francisco Serenity/ lovely home,West of Twin Peaks,37.73327,-122.46435,Entire home/apt,1125,STR-0001746,legal,,,
110825,Charming Cottage with Bay View,Bayview,37.71549,-122.38922,Entire home/apt,730,,illegal,,,
115242,Tel Hill-1 Bdr (+sep Queen bed alcove) & Parking,North Beach,37.80591,-122.4083,Entire home/apt,30,,legal,,,
121065,Victorian 1BR/1BA in Castro/Duboce,Western Addition,37.77083,-122.43109,Entire home/apt,365,,illegal,,,
126046,SF Victorian With Skyline Views ,Haight Ashbury,37.76813,-122.44494,Entire home/apt,250,,illegal,,,
128230,Castro Sanctuary,Castro/Upper Market,37.75887,-122.43565,Entire home/apt,15,STR-0001224,legal,,,
130805,"Hip, Cozy, Creative, Victorian",Mission,37.75586,-122.42092,Entire home/apt,90,,legal,,,
134015,"Marina location, rooftop GGB views+ private deck!",Marina,37.80356,-122.42589,Entire home/apt,14,STR-0000169,legal,,,
134193,Charming Family House near GG Park,Inner Richmond,37.7806,-122.47597,Entire home/apt,30,STR-0003533,legal,,,
137129,San Francisco Luxury Summer Rental,Inner Richmond,37.7879,-122.46474,Entire home/apt,28,1101576,legal,,,
137672,Charming Private Room in Cozy Apt,Inner Sunset,37.76463,-122.47435,Entire home/apt,30,,legal,,,
138592,Modern Architectural Gem - 4 Bdrm,Noe Valley,37.75635,-122.42864,Entire home/apt,1125,STR-0000079,legal,,,
138619,North Beach View & Garden 1BD/1BA,North Beach,37.79835,-122.4042,Entire home/apt,30,STR-0001519,legal,,,
142177,"Stylish, Spacious and Quiet Flat!",Outer Richmond,37.78471,-122.48125,Entire home/apt,25,STR-0002192,legal,,,
147443,Best Views in all of San Francisco,Diamond Heights,37.74599,-122.44532,Entire home/apt,90,STR-0000672,illegal,,,
148559,"Central Victorian Apartment, 2.5 br",Castro/Upper Market,37.76787,-122.43172,Entire home/apt,21,STR-0000414,legal,,,
148627,Romantic Marina Garden Studio,Marina,37.80094,-122.4275,Entire home/apt,120,,illegal,,,
148769,Ground Floor Studio with Garage Parking,Twin Peaks,37.75195,-122.44928,Entire home/apt,30,STR-0000672,legal,,,
150347,Cute Private 2Br Apt in the Mission,Mission,37.76202,-122.41876,Entire home/apt,365,,illegal,,,
162934,Private Room + Private Bathroom,Outer Richmond,37.77761,-122.50378,Entire home/apt,1125,STR-0000537,legal,,,
166199,Castro Cottage w/ Secret Garden,Castro/Upper Market,37.76194,-122.43239,Entire home/apt,330,CITY REGISTRATION PENDING,illegal,,,
166771,DOWNEY STREET - Victorian Flat,Haight Ashbury,37.76827,-122.44678,Entire home/apt,180,,illegal,,,
175090,FINANCIAL DIST: Gino's Cozy Getaway,Financial District,37.79018,-122.40475,Entire home/apt,1125,,illegal,,,
175102,FIN. DIST: Mario's Studio Penthouse,Financial District,37.79076,-122.40403,Entire home/apt,1125,,illegal,,,
177137,Grant Avenue Apartment,Chinatown,37.79675,-122.40781,Entire home/apt,1125,,illegal,,,
183334,SF Bernal Heights 2 br Condo with FABULOUS views!,Bernal Heights,37.74531,-122.41122,Entire home/apt,60,AWAITING APPROVAL PER PLANNING DEPT,legal,,,
183859,"Family-Friendly Flat In San Francisco, CA. USA",Glen Park,37.73604,-122.43777,Entire home/apt,28,STR-0000017,legal,,,
191632,Private Entrance Garden Studio,Haight Ashbury,37.77311,-122.44979,Entire home/apt,14,STR-0000088,legal,,,
201313,Fully Furnished 1 bedroom apartment,North Beach,37.8034,-122.40485,Entire home/apt,730,,illegal,,,
201579,Renovated Historic Home,Western Addition,37.77756,-122.43326,Entire home/apt,360,CITY REGISTRATION PENDING,illegal,,,
207980,"3 Bdrm City View Home w/Parking, deck,",Noe Valley,37.74446,-122.43776,Entire home/apt,90,STR-0000023,illegal,,,
208831,Virtually Your Own Apt in Nth Beach,Russian Hill,37.80242,-122.4144,Entire home/apt,14,STR-0000318,legal,,,
212265,"Sunny Condo in the Mission, San Francisco",Mission,37.75551,-122.40882,Entire home/apt,90,STR-0003305,illegal,,,
213854,Victorian Flat,Castro/Upper Market,37.76146,-122.43817,Entire home/apt,180,STR-0002787,legal,,,
216042,Bernal Heights Views Garden Hottub,Bernal Heights,37.74382,-122.41773,Entire home/apt,14,STR-0000142,legal,,,
217106,Great Ashbury Studio in SF  #3,Haight Ashbury,37.76551,-122.44614,Entire home/apt,365,,illegal,,,
224579,Beautiful luxury house w/ Deck,Mission,37.75632,-122.40478,Entire home/apt,1125,STR-0000649,legal,,,
229319,Bernal pied-à-terre,Bernal Heights,37.73819,-122.41566,Entire home/apt,365,,illegal,,,
231129,Nob Hill Mini Mansion 4b/4b,Nob Hill,37.79114,-122.41029,Entire home/apt,365,STR-0003058,legal,,,
231752,Mid-Century Garden Flat in Charming Upper Castro Victorian,Noe Valley,37.75565,-122.44022,Entire home/apt,365,,illegal,,,
232060,Lovely Private Suite Near UCSF- Monthly Only,Inner Sunset,37.75855,-122.46444,Entire home/apt,1125,30+ RENTAL ONLY,illegal,,,
238204,Spacious SF Getaway Near The Ocean,Parkside,37.74174,-122.50435,Entire home/apt,29,STR-0000446,legal,,,
242008,One Bedroom SoMa apartment,South of Market,37.77499,-122.40635,Entire home/apt,60,STR-0001369,legal,,,
244361,North Beach Chinatown Apartment,Chinatown,37.79532,-122.40863,Entire home/apt,365,,illegal,,,
245339,1 Bedroom near Ballet Symphony,Downtown/Civic Center,37.78304,-122.41942,Entire home/apt,365,,illegal,,,
252867,Potrero Hill Condo with View of Bay,Potrero Hill,37.75889,-122.39539,Entire home/apt,21,STR-0002998,legal,,,
259919,Golden Gate Park 1BR,Inner Sunset,37.7647,-122.45368,Entire home/apt,365,,illegal,,,
261358,"Condo near Hayes Valley, Rooftop Deck, Parking",Downtown/Civic Center,37.78322,-122.42025,Entire home/apt,1125,,illegal,,,
269463,Elegant Victorian Flat in Haight,Haight Ashbury,37.76711,-122.45151,Entire home/apt,30,STR-0000224,legal,,,
271602,Luxury Condo Downtown/ SoMa,South of Market,37.77899,-122.40506,Entire home/apt,365,STR-0000846,legal,,,
273530,"Sunny Potrero Townhouse ""Nest""",Potrero Hill,37.75612,-122.39967,Entire home/apt,7,STR-0000036,legal,,,
277339,Comfortable and tranquil SF escape,Outer Mission,37.72681,-122.43419,Entire home/apt,30,STR-0000025,legal,,,
279184,"Sunny 3 BR home in the Mission, great location",Mission,37.7529,-122.41553,Entire home/apt,365,STR-0002616,legal,,,
284117,"Cozy, Charming Cottage nestled in a Quiet Garden",Noe Valley,37.74334,-122.42932,Entire home/apt,60,STR-0002962,legal,,,
284766,Brick and Timber Loft  - Cow Hollow/Marina,Marina,37.79921,-122.43191,Entire home/apt,14,1075778﻿,legal,,,
285499,Castro States Street View Penthouse,Castro/Upper Market,37.76288,-122.43815,Entire home/apt,1125,,illegal,,,
286311,Spacious Corona Heights flat with views,Castro/Upper Market,37.76275,-122.44252,Entire home/apt,14,STR-0003065,legal,,,
288213,Stylish Potrero Garden Flat for Two,Potrero Hill,37.75924,-122.38948,Entire home/apt,365,STR-0000852,legal,,,
295240,Garden Apartment Oasis with Lush Greenery and a Hot Tub,Castro/Upper Market,37.76267,-122.43919,Entire home/apt,365,STR-0000266,legal,,,
307837,"Lovely, garden studio apartment",Noe Valley,37.75131,-122.437,Entire home/apt,29,STR-0003332,legal,,,
308885,North Beach Best Location and View,North Beach,37.79954,-122.40679,Entire home/apt,59,,legal,,,
314248,Pacific Heights 3 bedroom home,Pacific Heights,37.78946,-122.43538,Entire home/apt,365,STR-0000133,legal,,,
314368,2BR North Beach - Perfect for Business or Leisure,North Beach,37.80345,-122.40798,Entire home/apt,29,STR-0003012,legal,,,
317078,Alamo Square 1 bedroom Apt. F1B,Western Addition,37.77497,-122.4323,Entire home/apt,1125,,illegal,,,
317121,Small but practical studio in SF,Haight Ashbury,37.76547,-122.44616,Entire home/apt,365,,illegal,,,
325478,Spacious & artsy 2br Dolores Park flat,Mission,37.76065,-122.42414,Entire home/apt,1125,STR-0003787,legal,,,
326650,Lovely beautiful Apt Pac Fillmore,Western Addition,37.78633,-122.43217,Entire home/apt,180,,illegal,,,
329020,"The Clock Tower, circa 1907.",South of Market,37.78278,-122.39337,Entire home/apt,120,,illegal,,,
330535,Victorian Flat amongst the Trees.,Haight Ashbury,37.76892,-122.44615,Entire home/apt,364,,illegal,,,
330736,Luxury Condo w/ Views & Whole Foods,Mission,37.76592,-122.40628,Entire home/apt,364,STR-0000194,legal,,,
342420,Large Victorian House in Castro,Castro/Upper Market,37.76052,-122.42939,Entire home/apt,90,STR-0001201,illegal,,,
348580,Lovely view condo near BART/Mission,Bernal Heights,37.74271,-122.41955,Entire home/apt,30,STR-0001029,legal,,,
348714,Elegant Queen Ann Victorian,Haight Ashbury,37.77307,-122.44293,Entire home/apt,25,STR-0000173,legal,,,
361230,Location! Stylish home! Must See!,Castro/Upper Market,37.76079,-122.43447,Entire home/apt,365,,illegal,,,
366541,Luxury Apartment in SOMA Sleeps 4,Financial District,37.79178,-122.39502,Entire home/apt,1125,,illegal,,,
374997,Castro View Whole Top flr Apartment,Castro/Upper Market,37.76055,-122.44221,Entire home/apt,10,STR-0000311,legal,,,
379255,Beautiful 4-bdrm in San Francisco,Haight Ashbury,37.76588,-122.44281,Entire home/apt,29,STR-0001051,legal,,,
379349,Best location in San Francisco,Haight Ashbury,37.76648,-122.44542,Entire home/apt,10,STR-0000963,legal,,,
379418,3Br/2Bath Mid century home in Bernal Heights,Bernal Heights,37.74587,-122.41626,Entire home/apt,1125,STR-0003583,legal,,,
392543,Serene 1 Bedroom Garden Unit in Sunny Potrero,Potrero Hill,37.76196,-122.39411,Entire home/apt,30,STR-0000008,legal,,,
394575,Grand and Cozy 1920's SF Studio,Bernal Heights,37.74131,-122.41179,Entire home/apt,365,STR-0000920,legal,,,
400433,"Stylish Mission Condo, steps to Dolores Park",Mission,37.76016,-122.42265,Entire home/apt,28,STR-0004071,legal,,,
408471,Amazing modern views house in SF,Castro/Upper Market,37.75666,-122.43607,Entire home/apt,1125,STR-0002662,legal,,,
409549,Bernal Village Small Town San Fran,Bernal Heights,37.74002,-122.41813,Entire home/apt,1125,STR-0000126,legal,,,
413663,Luxury PanoView NoeValley Penthouse,Noe Valley,37.74987,-122.44027,Entire home/apt,10000,,illegal,,,
415498,Prime Location - Studio Apartment,Pacific Heights,37.79363,-122.42493,Entire home/apt,1125,,illegal,,,
423063,"Modern, comfy home in NOPA/Haight!",Western Addition,37.77044,-122.43599,Entire home/apt,28,STR-0002362,legal,,,
423300,Garden Unit,Mission,37.75686,-122.41019,Entire home/apt,90,STR-0000166,illegal,,,
431632,"Private, cozy studio near nature",Outer Richmond,37.78135,-122.48266,Entire home/apt,365,STR-0000440,legal,,,
431862,Penthouse Studio w Rooftop Deck!,Downtown/Civic Center,37.78321,-122.41969,Entire home/apt,1125,,illegal,,,
439703,4BR Classic Edwardian Top Floor 10 Min to Moscone,Castro/Upper Market,37.75978,-122.4351,Entire home/apt,29,STR-0001810,legal,,,
442349,Right in the middle living,Western Addition,37.7748,-122.42711,Entire home/apt,90,CITY REGISTRATION PENDING,illegal,,,
442397,OceanBeach2br2BathFreeParking!,Outer Sunset,37.75925,-122.50893,Entire home/apt,13,STR-0002072,legal,,,
444675,"Lux Furnished, Historic Home. Bay Views, Huge Yard",Glen Park,37.74054,-122.43121,Entire home/apt,247,,illegal,,,
450992,Charming Apt in the middle of SF F1,Western Addition,37.77477,-122.43225,Entire home/apt,365,,illegal,,,
457862,Comfy home in central location!,Western Addition,37.78101,-122.44083,Entire home/apt,1125,STR-0001027,legal,,,
457986,"2BR, 2BA w/parking in San Francisco",Excelsior,37.72594,-122.43327,Entire home/apt,30,STR-0000723,legal,,,
459806,Cozy 1BR near Golden Gate Park available monthly,Haight Ashbury,37.76457,-122.45054,Entire home/apt,1125,CITY REGISTRATION PENDING,illegal,,,
465723,Charming suite in West Portal area,Parkside,37.73853,-122.47166,Entire home/apt,1125,STR-0000132,legal,,,
467507,Gorgeous Bernal Heights Studio Apartment,Bernal Heights,37.74687,-122.40964,Entire home/apt,1125,STR-0001390,legal,,,
468490,Penthouse Panoramic View Home with Decks,Russian Hill,37.80139,-122.41534,Entire home/apt,29,STR-0000265,legal,,,
468751,"2 bedroom garden flat, heart of SF",Mission,37.76717,-122.42419,Entire home/apt,28,STR-0002438,legal,,,
472901,Excellent Peaceful Studio Condo,South of Market,37.77181,-122.40239,Entire home/apt,62,,legal,,,
479072,Lovely garden studio in the Castro,Castro/Upper Market,37.75756,-122.4364,Entire home/apt,14,STR-0002944,legal,,,
479415,Sunny Home in Prime Bernal Heights,Bernal Heights,37.73962,-122.41484,Entire home/apt,1125,STR-0003343,legal,,,
482592,Grand 1880's Victorian in San Fran,Glen Park,37.73429,-122.43491,Entire home/apt,30,STR-0003480,legal,,,
485286,Adorable Bernal Heights Apartment,Bernal Heights,37.73895,-122.41274,Entire home/apt,1125,STR-0002994,legal,,,
487019,Big Bright 3 br/2ba in Potrero Hill,Potrero Hill,37.756,-122.40022,Entire home/apt,1125,STR-0001599,legal,,,
487499,Mission District - Perfect Location,Mission,37.76099,-122.42183,Entire home/apt,200,,illegal,,,
491867,Central San Francisco Urban Dream,Western Addition,37.77296,-122.43497,Entire home/apt,5,STR-0000192,legal,,,
493889,Spacious 1brm w/ breathtaking view,Outer Mission,37.72872,-122.4406,Entire home/apt,25,CITY REGISTRATION PENDING,legal,,,
494111,Comfortable space of your own in SF,Outer Richmond,37.77985,-122.48478,Entire home/apt,90,1076015,illegal,,,
496226,"Large, open flat in sunny Potrero",Potrero Hill,37.76197,-122.40365,Entire home/apt,1125,,illegal,,,
496246,2-level upper flat in sunny Potrero,Mission,37.76348,-122.40546,Entire home/apt,365,,illegal,,,
499096,Charming Garden Studio Dolores Park,Mission,37.75853,-122.42387,Entire home/apt,30,STR-0000253,legal,,,
501770,Contemporary Home with Mid-Century Modern Design,Haight Ashbury,37.77166,-122.43826,Entire home/apt,1125,,illegal,,,
503362,"Million Dollar Penthouse, Remodeled",Haight Ashbury,37.77244,-122.43789,Entire home/apt,1124,,illegal,,,
504146,★ Iconic Marina Waterfront ★ Walk/Bike Score 94+,Marina,37.80594,-122.43783,Entire home/apt,21,STR-0000323,legal,,,
505763,Million Dollar View Stunning Modern,Twin Peaks,37.75081,-122.44524,Entire home/apt,1000,,illegal,,,
515260,Beautiful Noe Valley Edwardian flat,Noe Valley,37.74395,-122.43253,Entire home/apt,10,STR-0003106,legal,,,
515430,Detached Noe Valley Cottage in garden setting,Noe Valley,37.74441,-122.42826,Entire home/apt,90,STR-0001172,illegal,,,
517803,Buena Vista Bungalow,Castro/Upper Market,37.76794,-122.43906,Entire home/apt,24,STR-0002264,legal,,,
519796,Lrg Sunny Flat/1 Blk fr Lombard St,Russian Hill,37.80299,-122.42447,Entire home/apt,31,1025574,legal,,,
522089,Mission Dolores Home in Prime Area,Mission,37.75981,-122.42447,Entire home/apt,24,STR-0002750,legal,,,
531151,Sunny 4-Bedroom Family Home Central SF Location,Bernal Heights,37.73496,-122.41656,Entire home/apt,21,STR-0000603,legal,,,
533627,Potrero Paradise with Stunning Views and Hot Tub,Potrero Hill,37.7608,-122.40379,Entire home/apt,1125,STR-0000040,legal,,,
545685,"Garden Suite by Golden Gate Park, Private Bathrm",Outer Richmond,37.77619,-122.48231,Entire home/apt,28,STR-0000234,legal,,,
548232,PERFECT LOCATION CONDO!  Clean & spacious,Marina,37.79817,-122.44169,Entire home/apt,150,STR-0003843,legal,,,
555596,Charming Noe Valley Garden Oasis,Noe Valley,37.74416,-122.43598,Entire home/apt,360,STR-0003991,legal,,,
560440,Mission 2 bdrm - kid friendly,Mission,37.7605,-122.42317,Entire home/apt,21,STR-0002847,legal,,,
561148,"Great Family Home, Quiet Street, Close to GG Park",Inner Richmond,37.77822,-122.45813,Entire home/apt,1125,STR-0000410,legal,,,
562593,Beauty in the Heart of North Beach,North Beach,37.80043,-122.40543,Entire home/apt,1125,CITY REGISTRATION PENDING,illegal,,,
571042,Upscale View Cottage in San Francisco 3br/ 2.5ba,Haight Ashbury,37.7681,-122.43972,Entire home/apt,34,STR-0001512,legal,,,
576018,Spacious Noe Valley Victorian,Noe Valley,37.75363,-122.43138,Entire home/apt,14,STR-0001671,legal,,,
578097,2-Bed Lower Haight Apt with Deck!!!,Western Addition,37.77053,-122.42848,Entire home/apt,360,STR-0003566,legal,,,
582335,"Luxurious, high end, modern, remodeled Victorian.",Marina,37.80178,-122.43719,Entire home/apt,30,STR-0001314,legal,,,
585225,Hip Light-Filled Studio w Views,Noe Valley,37.74555,-122.43384,Entire home/apt,30,STR-0001077,legal,,,
585326,"Cozy Suite by Golden Gate Park, Private Bathrm",Outer Richmond,37.77632,-122.48067,Entire home/apt,28,STR-0000234,legal,,,
587375,"Heart of Mission-Modern/Bright/Unique Street, 2bd",Mission,37.76157,-122.42186,Entire home/apt,1125,STR-0002734,legal,,,
589767,Beautiful Nob Hill Apartment with Perfect Location,Nob Hill,37.79648,-122.4118,Entire home/apt,30,STR-0002875,legal,,,
591524,"True Gem w/ HOT TUB, a block from Mission District",Bernal Heights,37.74663,-122.41696,Entire home/apt,27,STR-0003858,legal,,,
594387,Noe Valley 3BR/2.5 BA w/ views,Noe Valley,37.75301,-122.43686,Entire home/apt,1125,STR-0000890,legal,,,
598579,Alamo Square - Cozy & Quiet 1 BD,Western Addition,37.77448,-122.43359,Entire home/apt,120,,illegal,,,
602036,Eclectic Queen Anne Victorian in NOPA,Haight Ashbury,37.77586,-122.44243,Entire home/apt,60,,legal,,,
602535,Charming Victorian in Vibrant Noe,Noe Valley,37.74366,-122.42993,Entire home/apt,21,STR-0000969,legal,,,
607500,Newly Renovated - San Francisco in Style,Haight Ashbury,37.76668,-122.45095,Entire home/apt,60,STR-0002437,legal,,,
616204,Walker's Paradise - Heart of SF,Chinatown,37.79527,-122.40925,Entire home/apt,1125,STR-0002254,legal,,,
616517,Beautiful and Spacious Loft - SOMA,South of Market,37.77528,-122.40772,Entire home/apt,360,,illegal,,,
626349,Sunny Modern Luxury Condo!,South of Market,37.78111,-122.40597,Entire home/apt,365,,illegal,,,
631635,Lovely Victorian Flat - Castro Area,Noe Valley,37.75566,-122.43454,Entire home/apt,1125,1076216,illegal,,,
632303,Modern Cozy Apt - Stunning Hills & Hiking,Glen Park,37.74118,-122.43275,Entire home/apt,365,,illegal,,,
640352,Hip loft / large breakout space: SoMa near Moscone,South of Market,37.78128,-122.40346,Entire home/apt,28,STR-0002012,legal,,,
640605,San Francisco Marina Garden Studio,Marina,37.80392,-122.43422,Entire home/apt,360,STR-0000284,legal,,,
642672,Gorgeous 1BR - heart of Noe Valley ,Bernal Heights,37.7457,-122.42423,Entire home/apt,160,,illegal,,,
644091,Expansive Bay View Condo,North Beach,37.80329,-122.40708,Entire home/apt,90,STR-0003742,illegal,,,
